"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","TIPUTENZA2","Tipologia di utenza","SEXISTAT1","Sesso","ISO","Nazionalità","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2019","2019",3,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2020","2020",10,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2022","2022",18,,
"IT","Italia","USERS","utenti del 1522","OPERATORS","da operatori","T","totale","NRP","Non Indicato","2013","2013",30,,
"IT","Italia","USERS","utenti del 1522","OPERATORS","da operatori","T","totale","NRP","Non Indicato","2014","2014",5,,
"IT","Italia","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","T","totale","NRP","Non Indicato","2013","2013",26,,
"IT","Italia","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","T","totale","NRP","Non Indicato","2014","2014",6,,
"IT","Italia","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","T","totale","NRP","Non Indicato","2013","2013",16,,
"IT","Italia","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","T","totale","NRP","Non Indicato","2014","2014",3,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2013","2013",1507,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2014","2014",284,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2019","2019",3,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2020","2020",10,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2022","2022",18,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2013","2013",364,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2014","2014",76,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2019","2019",2,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2020","2020",9,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2022","2022",15,,
"IT","Italia","USERS","utenti del 1522","OPERATORS","da operatori","NRP","non indicato","NRP","Non Indicato","2013","2013",7,,
"IT","Italia","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","NRP","non indicato","NRP","Non Indicato","2013","2013",1,,
"IT","Italia","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","NRP","non indicato","NRP","Non Indicato","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","NRP","non indicato","NRP","Non Indicato","2013","2013",4,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2013","2013",352,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2014","2014",75,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2019","2019",2,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2020","2020",9,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2022","2022",15,,
"ITC","Nord-ovest","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2013","2013",14,,
"ITC","Nord-ovest","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2014","2014",7,,
"ITC","Nord-ovest","USERS","utenti del 1522","OPERATORS","da operatori","M","maschi","NRP","Non Indicato","2013","2013",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","OPERATORS","da operatori","M","maschi","NRP","Non Indicato","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","M","maschi","NRP","Non Indicato","2013","2013",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","M","maschi","NRP","Non Indicato","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","M","maschi","NRP","Non Indicato","2013","2013",12,,
"ITC","Nord-ovest","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","M","maschi","NRP","Non Indicato","2014","2014",5,,
"ITC","Nord-ovest","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2013","2013",117,,
"ITC","Nord-ovest","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2014","2014",21,,
"ITC","Nord-ovest","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","F","femmine","NRP","Non Indicato","2013","2013",8,,
"ITC","Nord-ovest","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","F","femmine","NRP","Non Indicato","2014","2014",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2013","2013",109,,
"ITC","Nord-ovest","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2014","2014",19,,
"ITC","Nord-ovest","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2013","2013",161,,
"ITC","Nord-ovest","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2014","2014",32,,
"ITC","Nord-ovest","USERS","utenti del 1522","OPERATORS","da operatori","T","totale","NRP","Non Indicato","2013","2013",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","OPERATORS","da operatori","T","totale","NRP","Non Indicato","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","T","totale","NRP","Non Indicato","2013","2013",9,,
"ITC","Nord-ovest","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","T","totale","NRP","Non Indicato","2014","2014",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","T","totale","NRP","Non Indicato","2013","2013",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","T","totale","NRP","Non Indicato","2014","2014",1,,
